Count,Timestamp,T,Band,ARFCN,PCI,PLMN Id,RSRP,RSRQ,RSSI,SINR,Info
518,2022-02-24 18:04:47.357,Band 7 (IMT-E 2600),3300,190,43211,#00703c -75.64    Excellent   ,#00d228 -10.66    Good        ,#00703c -48.43    Excellent   ,#ffffff 0,,
517,2022-02-24 11:41:05.281,Band 7 (IMT-E 2600),3300,455,43211,#00a032 -81.35    Very Good   ,#00d228 -10.85    Good        ,#00703c -54.84    Excellent   ,#ffffff 0,,
512,2022-02-24 17:57:27.270,Band 7 (IMT-E 2600),3300,445,43211,#00a032 -82.59    Very Good   ,#00d228 -10.42    Good        ,#00703c -55.21    Excellent   ,#ffffff 0,,
483,2022-02-24 12:56:15.186,Band 7 (IMT-E 2600),3300,418,43211,#00d228 -86.05    Good        ,#00d228 -11       Good        ,#00703c -59.29    Excellent   ,#ffffff 0,,
476,2022-02-24 14:59:35.223,Band 7 (IMT-E 2600),3300,484,43211,#00a032 -80.93    Very Good   ,#00d228 -11.18    Good        ,#00703c -53.66    Excellent   ,#ffffff 0,,
447,2022-02-24 14:43:49.144,Band 7 (IMT-E 2600),3300,57,43211,#ffff00 -91.74    Fair        ,#00d228 -11.24    Good        ,#00703c -64.03    Excellent   ,#ffffff 0,,
440,2022-02-24 17:47:51.410,Band 7 (IMT-E 2600),3300,446,43211,#00d228 -85.16    Good        ,#00d228 -10.9     Good        ,#00703c -58.14    Excellent   ,#ffffff 0,,
436,2022-02-24 14:14:55.282,Band 7 (IMT-E 2600),3300,61,43211,#00a032 -82.65    Very Good   ,#00d228 -11.29    Good        ,#00703c -55.89    Excellent   ,#ffffff 0,,
398,2022-02-24 14:03:09.282,Band 7 (IMT-E 2600),3102,289,43211,#00a032 -82.68    Very Good   ,#00d228 -11.37    Good        ,#00703c -52.6     Excellent   ,#ffffff 0,,
389,2022-02-24 17:55:35.217,Band 7 (IMT-E 2600),3102,191,43211,#00d228 -86.82    Good        ,#ffff00 -13.8     Fair        ,#00703c -53.62    Excellent   ,#ffffff 0,,
384,2022-02-24 17:55:51.333,Band 7 (IMT-E 2600),3102,445,43211,#00d228 -87.25    Good        ,#00d228 -11.71    Good        ,#00703c -56.25    Excellent   ,#ffffff 0,,
378,2022-02-24 14:10:29.230,Band 7 (IMT-E 2600),3300,58,43211,#00d228 -85.35    Good        ,#ffff00 -12.16    Fair        ,#00703c -56.46    Excellent   ,#ffffff 0,,
334,2022-02-24 14:16:13.264,Band 7 (IMT-E 2600),3300,288,43211,#00a032 -81.28    Very Good   ,#00d228 -11.94    Good        ,#00703c -53.38    Excellent   ,#ffffff 0,,
332,2022-02-24 17:40:27.122,Band 3 (DCS 1800),1423,191,43211,#00703c -79.81    Excellent   ,#00d228 -10.8     Good        ,#00703c -48.71    Excellent   ,#ffffff 0,,
321,2022-02-24 17:17:49.175,Band 7 (IMT-E 2600),3300,218,43211,#00a032 -84.05    Very Good   ,#ffff00 -12.67    Fair        ,#00703c -54.47    Excellent   ,#ffffff 0,,
300,2022-02-24 17:41:45.217,Band 7 (IMT-E 2600),3300,377,43211,#00703c -79.7     Excellent   ,#00d228 -11.19    Good        ,#00703c -52.47    Excellent   ,#ffffff 0,,
279,2022-02-24 17:55:45.251,Band 7 (IMT-E 2600),3102,444,43211,#00703c -79.61    Excellent   ,#ffff00 -12.56    Fair        ,#00703c -47.83    Excellent   ,#ffffff 0,,
278,2022-02-24 17:11:06.348,Band 7 (IMT-E 2600),3300,317,43211,#00703c -78.06    Excellent   ,#00a032 -9.92     Very Good   ,#00703c -51.18    Excellent   ,#ffffff 0,,
275,2022-02-24 17:57:41.233,Band 7 (IMT-E 2600),3300,191,43211,#00d228 -85.22    Good        ,#ffff00 -12.8     Fair        ,#00703c -54.31    Excellent   ,#ffffff 0,,
268,2022-02-24 17:55:33.156,Band 7 (IMT-E 2600),3102,190,43211,#00703c -76.2     Excellent   ,#ffff00 -12.33    Fair        ,#00703c -44.87    Excellent   ,#ffffff 0,,
263,2022-02-24 13:02:48.260,Band 3 (DCS 1800),1423,418,43211,#00d228 -86.39    Good        ,#00d228 -11.06    Good        ,#00703c -55.31    Excellent   ,#ffffff 0,,
260,2022-02-24 13:00:55.269,Band 3 (DCS 1800),1423,456,43211,#00a032 -80.27    Very Good   ,#00d228 -10.68    Good        ,#00703c -49.45    Excellent   ,#ffffff 0,,
254,2022-02-24 11:16:43.277,Band 7 (IMT-E 2600),3102,290,43211,#00703c -79.92    Excellent   ,#00d228 -10.87    Good        ,#00703c -51.2     Excellent   ,#ffffff 0,,
251,2022-02-24 11:50:21.211,Band 7 (IMT-E 2600),3102,417,43211,#00703c -76.49    Excellent   ,#00d228 -10.7     Good        ,#00703c -48.26    Excellent   ,#ffffff 0,,
234,2022-02-24 12:45:37.221,Band 7 (IMT-E 2600),3300,454,43211,#00703c -78.79    Excellent   ,#ffff00 -12.8     Fair        ,#00703c -50.11    Excellent   ,#ffffff 0,,
231,2022-02-24 17:46:25.236,Band 7 (IMT-E 2600),3300,343,43211,#00a032 -84.99    Very Good   ,#00d228 -11.48    Good        ,#00703c -56.34    Excellent   ,#ffffff 0,,
222,2022-02-24 16:38:54.952,Band 7 (IMT-E 2600),3300,216,43211,#00703c -78.2     Excellent   ,#00d228 -11.1     Good        ,#00703c -51       Excellent   ,#ffffff 0,,
219,2022-02-24 12:56:37.253,Band 3 (DCS 1800),1423,438,43211,#00703c -76.6     Excellent   ,#00d228 -10.94    Good        ,#00703c -45.84    Excellent   ,#ffffff 0,,
212,2022-02-24 14:02:13.211,Band 7 (IMT-E 2600),3102,288,43211,#00a032 -82.65    Very Good   ,#00d228 -11.68    Good        ,#00703c -52.65    Excellent   ,#ffffff 0,,
175,2022-02-24 11:06:50.496,Band 7 (IMT-E 2600),3102,411,43211,#00d228 -86.75    Good        ,#ffff00 -13.53    Fair        ,#00703c -54.41    Excellent   ,#ffffff 0,,
162,2022-02-24 15:25:39.343,Band 1 (IMT 2100),550,133,43211,#00a032 -83.69    Very Good   ,#00d228 -10.62    Good        ,#00703c -60.16    Excellent   ,#ffffff 0,,
160,2022-02-24 17:41:20.066,Band 3 (DCS 1800),1423,342,43211,#00a032 -84.3     Very Good   ,#00d228 -11.56    Good        ,#00703c -52.72    Excellent   ,#ffffff 0,,
155,2022-02-24 12:00:52.512,Band 1 (IMT 2100),550,375,43211,#00a032 -80.46    Very Good   ,#00a032 -9.74     Very Good   ,#00703c -54.6     Excellent   ,#ffffff 0,,
150,2022-02-24 13:04:50.020,Band 3 (DCS 1800),1423,375,43211,#00a032 -81.4     Very Good   ,#00d228 -11.03    Good        ,#00703c -50.39    Excellent   ,#ffffff 0,,
140,2022-02-24 14:11:13.193,Band 7 (IMT-E 2600),3102,132,43211,#ffaa00 -99.49    Poor        ,#820000 -20.81    Awful       ,#00703c -59.77    Excellent   ,#ffffff 0,,
138,2022-02-24 11:58:40.534,Band 1 (IMT 2100),550,484,43211,#00703c -77.27    Excellent   ,#00a032 -9.15     Very Good   ,#00703c -52.53    Excellent   ,#ffffff 0,,
134,2022-02-24 14:11:25.100,Band 7 (IMT-E 2600),3102,58,43211,#00703c -79.38    Excellent   ,#00d228 -11.67    Good        ,#00703c -49.05    Excellent   ,#ffffff 0,,
130,2022-02-24 11:39:51.235,Band 7 (IMT-E 2600),3300,453,43211,#00703c -74.56    Excellent   ,#ffff00 -12.4     Fair        ,#00703c -45.45    Excellent   ,#ffffff 0,,
129,2022-02-24 14:12:11.125,Band 3 (DCS 1800),1423,58,43211,#00703c -72.71    Excellent   ,#00d228 -11.18    Good        ,#00703c -41.02    Excellent   ,#ffffff 0,,
129,2022-02-24 11:59:21.145,Band 7 (IMT-E 2600),3102,483,43211,#ffff00 -90.25    Fair        ,#ffff00 -13.23    Fair        ,#00703c -57.95    Excellent   ,#ffffff 0,,
124,2022-02-24 14:23:39.099,Band 7 (IMT-E 2600),3300,412,43211,#00a032 -85       Very Good   ,#ffff00 -12.79    Fair        ,#00703c -55.52    Excellent   ,#ffffff 0,,
121,2022-02-24 11:53:56.703,Band 3 (DCS 1800),1423,439,43211,#00703c -71.34    Excellent   ,#00d228 -10.04    Good        ,#00703c -41.46    Excellent   ,#ffffff 0,,
119,2022-02-24 17:33:27.142,Band 3 (DCS 1800),1423,189,43211,#00703c -76.1     Excellent   ,#00d228 -11.29    Good        ,#00703c -45.13    Excellent   ,#ffffff 0,,
112,2022-02-24 11:51:37.209,Band 7 (IMT-E 2600),3102,419,43211,#00a032 -84.65    Very Good   ,#fa6400 -17.3     Bad         ,#00703c -49.38    Excellent   ,#ffffff 0,,
100,2022-02-24 17:32:01.098,Band 3 (DCS 1800),1423,376,43211,#00a032 -83.29    Very Good   ,#00d228 -11.34    Good        ,#00703c -51.45    Excellent   ,#ffffff 0,,
98,2022-02-24 13:04:17.206,Band 3 (DCS 1800),1423,440,43211,#00a032 -82.83    Very Good   ,#ffff00 -12.36    Fair        ,#00703c -49.71    Excellent   ,#ffffff 0,,
97,2022-02-24 11:48:57.260,Band 7 (IMT-E 2600),3102,59,43211,#00703c -75.86    Excellent   ,#00d228 -11.64    Good        ,#00703c -47       Excellent   ,#ffffff 0,,
95,2022-02-24 15:24:13.258,Band 7 (IMT-E 2600),3300,125,43211,#ffaa00 -95.68    Poor        ,#fa6400 -17.35    Bad         ,#00703c -61.74    Excellent   ,#ffffff 0,,
